,run,wafer,site,value
245,11,6,site2,429.63
246,12,1,site2,440.74
247,12,2,site2,419.16
248,12,3,site2,422.83
249,12,4,site2,415.69
250,12,5,site2,411.27
251,12,6,site2,419.2
252,13,1,site2,413.17
253,13,2,site2,434.27
254,13,3,site2,438.82
255,13,4,site2,419.41
256,13,5,site2,423.41
257,13,6,site2,430.94
258,14,1,site2,430.19
259,14,2,site2,441.48
260,14,3,site2,424.56
261,14,4,site2,428.94
262,14,5,site2,430.16
263,14,6,site2,423.02
264,15,1,site2,439.42
265,15,2,site2,420.33
266,15,3,site2,423.04
267,15,4,site2,415.95
268,15,5,site2,414.67
269,15,6,site2,420.24
270,16,1,site2,418.34
271,16,2,site2,435.12
272,16,3,site2,446.27
273,16,4,site2,425.04
274,16,5,site2,432.44
275,16,6,site2,438.7
276,17,1,site2,437.92
277,17,2,site2,450.83
278,17,3,site2,431.03
279,17,4,site2,436.82
280,17,5,site2,443.98
281,17,6,site2,431.76
282,18,1,site2,426.02
283,18,2,site2,418.31
284,18,3,site2,420.77
285,18,4,site2,414.26
286,18,5,site2,407.95
287,18,6,site2,422.23
288,19,1,site2,434.09
289,19,2,site2,451.1
290,19,3,site2,428.92
291,19,4,site2,432.27
292,19,5,site2,433.67
293,19,6,site2,429.66
294,20,1,site2,440.77
295,20,2,site2,419.19
296,20,3,site2,422.86
297,20,4,site2,415.72
298,20,5,site2,411.3
299,20,6,site2,419.23
300,21,1,site2,410.19
301,21,2,site2,431.29
302,21,3,site2,435.84
303,21,4,site2,416.43
304,21,5,site2,420.43
305,21,6,site2,427.96
306,22,1,site2,395.9
307,22,2,site2,425.67
308,22,3,site2,434.89
309,22,4,site2,416.76
310,22,5,site2,420.47
311,22,6,site2,425.16
312,23,1,site2,422.21
313,23,2,site2,433.5
314,23,3,site2,416.58
315,23,4,site2,420.96
316,23,5,site2,422.18
317,23,6,site2,415.04
318,24,1,site2,391.9
319,24,2,site2,425.91
320,24,3,site2,436.2
321,24,4,site2,415.55
322,24,5,site2,420.39
323,24,6,site2,423.68
324,25,1,site2,399.53
325,25,2,site2,427.26
326,25,3,site2,434.95
327,25,4,site2,408.88
328,25,5,site2,421.22
329,25,6,site2,425.83
330,26,1,site2,423.9
331,26,2,site2,434.06
332,26,3,site2,418.59
333,26,4,site2,423.66
334,26,5,site2,423.9
335,26,6,site2,420.03
336,27,1,site2,440.45
337,27,2,site2,418.74
338,27,3,site2,425.65
339,27,4,site2,430.92
340,27,5,site2,417.33
341,27,6,site2,425.7
342,28,1,site2,405.26
343,28,2,site2,427.71
344,28,3,site2,433.24
345,28,4,site2,416.38
346,28,5,site2,421.46
347,28,6,site2,426.9
348,29,1,site2,423.0
349,29,2,site2,430.66
350,29,3,site2,416.04
351,29,4,site2,423.99
352,29,5,site2,421.09
353,29,6,site2,418.65
354,30,1,site2,422.43
355,30,2,site2,417.59
356,30,3,site2,419.0
357,30,4,site2,426.35
358,30,5,site2,419.89
359,30,6,site2,435.38
360,1,1,site3,450.88
361,1,2,site3,433.85
362,1,3,site3,448.95
363,1,4,site3,439.99
364,1,5,site3,432.52
365,1,6,site3,442.58
366,2,1,site3,448.28
367,2,2,site3,455.85
368,2,3,site3,433.57
369,2,4,site3,437.23
370,2,5,site3,453.25
371,2,6,site3,439.14
372,3,1,site3,437.79
373,3,2,site3,408.46
374,3,3,site3,423.94
375,3,4,site3,412.3
376,3,5,site3,388.74
377,3,6,site3,406.29
378,4,1,site3,382.68
379,4,2,site3,439.24
380,4,3,site3,454.43
381,4,4,site3,428.44
382,4,5,site3,439.21
383,4,6,site3,444.78
384,5,1,site3,435.19
385,5,2,site3,454.21
386,5,3,site3,433.23
387,5,4,site3,437.37
388,5,5,site3,433.68
389,5,6,site3,436.46
390,6,1,site3,442.35
391,6,2,site3,417.82
392,6,3,site3,425.73
393,6,4,site3,408.23
394,6,5,site3,408.95
395,6,6,site3,413.25
396,7,1,site3,398.92
397,7,2,site3,437.69
398,7,3,site3,434.08
399,7,4,site3,427.64
400,7,5,site3,438.12
401,7,6,site3,417.34
402,8,1,site3,440.79
403,8,2,site3,452.83
404,8,3,site3,432.57
405,8,4,site3,437.87
406,8,5,site3,432.19
407,8,6,site3,436.5
408,9,1,site3,441.84
409,9,2,site3,410.39
410,9,3,site3,423.03
411,9,4,site3,374.85
412,9,5,site3,387.6
413,9,6,site3,421.78
414,10,1,site3,401.58
415,10,2,site3,436.65
416,10,3,site3,433.25
417,10,4,site3,426.45
418,10,5,site3,414.32
419,10,6,site3,431.32
420,11,1,site3,434.07
421,11,2,site3,451.52
422,11,3,site3,425.95
423,11,4,site3,431.79
424,11,5,site3,439.23
425,11,6,site3,431.32
426,12,1,site3,443.07
427,12,2,site3,414.99
428,12,3,site3,424.58
429,12,4,site3,412.53
430,12,5,site3,410.54
431,12,6,site3,420.7
432,13,1,site3,416.59
433,13,2,site3,434.27
434,13,3,site3,437.64
435,13,4,site3,419.4
436,13,5,site3,426.52
437,13,6,site3,432.29
438,14,1,site3,432.88
439,14,2,site3,441.68
440,14,3,site3,423.89
441,14,4,site3,428.4
442,14,5,site3,437.21
443,14,6,site3,425.65
444,15,1,site3,438.23
445,15,2,site3,419.3
446,15,3,site3,424.24
447,15,4,site3,405.09
448,15,5,site3,416.96
449,15,6,site3,422.34
450,16,1,site3,430.4
451,16,2,site3,452.2
452,16,3,site3,462.28
453,16,4,site3,421.25
454,16,5,site3,442.77
455,16,6,site3,446.89
456,17,1,site3,441.65
457,17,2,site3,450.96
458,17,3,site3,430.83
459,17,4,site3,437.29
460,17,5,site3,448.52
461,17,6,site3,433.27
462,18,1,site3,429.93
463,18,2,site3,416.37
464,18,3,site3,421.89
465,18,4,site3,393.43
466,18,5,site3,404.33
467,18,6,site3,422.58
468,19,1,site3,435.08
469,19,2,site3,452.53
470,19,3,site3,426.96
471,19,4,site3,432.8
472,19,5,site3,440.24
473,19,6,site3,432.33
474,20,1,site3,444.08
475,20,2,site3,416.0
476,20,3,site3,425.59
477,20,4,site3,413.54
